,Steps,ASR,method
1459,3834.574297,0.91,bb
1460,3854.650602,0.86,bb
1461,3854.650602,0.92,bb
1462,3854.650602,0.94,bb
1463,3854.650602,0.88,bb
1464,3854.650602,0.91,bb
1465,3874.726908,0.95,bb
1466,3874.726908,0.95,bb
1467,3874.726908,0.92,bb
1468,3874.726908,0.93,bb
1469,3874.726908,0.94,bb
1470,3894.803213,0.96,bb
1471,3894.803213,0.92,bb
1472,3894.803213,0.96,bb
1473,3894.803213,0.89,bb
1474,3894.803213,0.88,bb
1475,3914.879518,0.95,bb
1476,3914.879518,0.96,bb
1477,3914.879518,0.91,bb
1478,3914.879518,0.97,bb
1479,3914.879518,0.91,bb
1480,3934.955823,0.93,bb
1481,3934.955823,0.97,bb
1482,3934.955823,0.92,bb
1483,3934.955823,0.94,bb
1484,3934.955823,0.88,bb
1485,3955.032129,0.95,bb
1486,3955.032129,0.97,bb
1487,3955.032129,0.88,bb
1488,3955.032129,0.88,bb
1489,3955.032129,0.87,bb
1490,3975.108434,0.95,bb
1491,3975.108434,0.95,bb
1492,3975.108434,0.96,bb
1493,3975.108434,0.96,bb
1494,3975.108434,0.9,bb
1495,3995.184739,0.87,bb
1496,3995.184739,0.96,bb
1497,3995.184739,0.92,bb
1498,3995.184739,0.94,bb
1499,3995.184739,0.95,bb
1500,4015.261044,0.96,bb
1501,4015.261044,0.92,bb
1502,4015.261044,0.96,bb
1503,4015.261044,0.96,bb
1504,4015.261044,0.87,bb
1505,4035.337349,0.91,bb
1506,4035.337349,0.93,bb
1507,4035.337349,0.93,bb
1508,4035.337349,0.95,bb
1509,4035.337349,0.92,bb
1510,4055.413655,0.97,bb
1511,4055.413655,0.95,bb
1512,4055.413655,0.88,bb
1513,4055.413655,0.88,bb
1514,4055.413655,0.96,bb
1515,4075.48996,0.85,bb
1516,4075.48996,0.9,bb
1517,4075.48996,0.89,bb
1518,4075.48996,0.88,bb
1519,4075.48996,0.86,bb
1520,4095.566265,0.91,bb
1521,4095.566265,0.89,bb
1522,4095.566265,0.94,bb
1523,4095.566265,0.92,bb
1524,4095.566265,0.92,bb
1525,4115.64257,0.87,bb
1526,4115.64257,0.95,bb
1527,4115.64257,0.91,bb
1528,4115.64257,0.95,bb
1529,4115.64257,0.95,bb
1530,4135.718876,0.97,bb
1531,4135.718876,0.91,bb
1532,4135.718876,0.94,bb
1533,4135.718876,0.95,bb
1534,4135.718876,0.9,bb
1535,4155.795181,0.97,bb
1536,4155.795181,0.96,bb
1537,4155.795181,0.93,bb
1538,4155.795181,0.92,bb
1539,4155.795181,0.92,bb
1540,4175.871486,0.98,bb
1541,4175.871486,0.88,bb
1542,4175.871486,0.94,bb
1543,4175.871486,0.97,bb
1544,4175.871486,0.96,bb
1545,4195.947791,0.97,bb
1546,4195.947791,0.94,bb
1547,4195.947791,0.94,bb
1548,4195.947791,0.97,bb
1549,4195.947791,0.92,bb
1550,4216.024096,0.96,bb
1551,4216.024096,0.98,bb
1552,4216.024096,0.97,bb
1553,4216.024096,0.97,bb
1554,4216.024096,0.87,bb
1555,4236.100402,0.94,bb
1556,4236.100402,0.93,bb
1557,4236.100402,0.95,bb
1558,4236.100402,0.97,bb
1559,4236.100402,0.96,bb
1560,4256.176707,0.94,bb
1561,4256.176707,0.93,bb
1562,4256.176707,0.93,bb
1563,4256.176707,0.96,bb
1564,4256.176707,0.92,bb
1565,4276.253012,0.96,bb
1566,4276.253012,0.94,bb
1567,4276.253012,0.91,bb
1568,4276.253012,0.85,bb
1569,4276.253012,0.96,bb
1570,4296.329317,0.98,bb
1571,4296.329317,0.91,bb
1572,4296.329317,0.88,bb
1573,4296.329317,0.89,bb
1574,4296.329317,0.9,bb
1575,4316.405622,0.95,bb
1576,4316.405622,0.94,bb
1577,4316.405622,0.96,bb
1578,4316.405622,0.97,bb
1579,4316.405622,0.87,bb
1580,4336.481928,0.96,bb
1581,4336.481928,0.95,bb
1582,4336.481928,0.88,bb
1583,4336.481928,0.9,bb
1584,4336.481928,0.94,bb
1585,4356.558233,0.95,bb
1586,4356.558233,0.96,bb
1587,4356.558233,0.89,bb
1588,4356.558233,0.97,bb
1589,4356.558233,0.96,bb
1590,4376.634538,0.88,bb
1591,4376.634538,0.97,bb
1592,4376.634538,0.98,bb
1593,4376.634538,0.91,bb
1594,4376.634538,0.88,bb
1595,4396.710843,0.92,bb
1596,4396.710843,0.94,bb
1597,4396.710843,0.95,bb
1598,4396.710843,0.94,bb
1599,4396.710843,0.87,bb
1600,4416.787149,0.91,bb
1601,4416.787149,0.95,bb
1602,4416.787149,0.91,bb
1603,4416.787149,0.9,bb
1604,4416.787149,0.94,bb
1605,4436.863454,0.95,bb
1606,4436.863454,0.95,bb
1607,4436.863454,0.92,bb
1608,4436.863454,0.87,bb
1609,4436.863454,0.98,bb
1610,4456.939759,0.98,bb
1611,4456.939759,0.96,bb
1612,4456.939759,0.97,bb
1613,4456.939759,0.9,bb
1614,4456.939759,0.95,bb
1615,4477.016064,0.97,bb
1616,4477.016064,0.86,bb
1617,4477.016064,0.96,bb
1618,4477.016064,0.93,bb
1619,4477.016064,0.96,bb
1620,4497.092369,0.98,bb
1621,4497.092369,0.98,bb
1622,4497.092369,0.99,bb
1623,4497.092369,0.89,bb
1624,4497.092369,0.94,bb
1625,4517.168675,0.95,bb
1626,4517.168675,0.91,bb
1627,4517.168675,0.95,bb
1628,4517.168675,0.91,bb
1629,4517.168675,0.9,bb
1630,4537.24498,0.93,bb
1631,4537.24498,0.93,bb
1632,4537.24498,0.9,bb
1633,4537.24498,0.94,bb
1634,4537.24498,0.93,bb
1635,4557.321285,0.92,bb
1636,4557.321285,0.9,bb
1637,4557.321285,0.99,bb
1638,4557.321285,0.97,bb
1639,4557.321285,0.89,bb
1640,4577.39759,0.91,bb
1641,4577.39759,0.98,bb
1642,4577.39759,0.98,bb
1643,4577.39759,0.92,bb
1644,4577.39759,0.96,bb
1645,4597.473896,0.87,bb
1646,4597.473896,0.92,bb
1647,4597.473896,0.98,bb
1648,4597.473896,0.97,bb
1649,4597.473896,0.95,bb
1650,4617.550201,0.95,bb
1651,4617.550201,0.97,bb
1652,4617.550201,0.93,bb
1653,4617.550201,0.98,bb
1654,4617.550201,0.98,bb
1655,4637.626506,0.95,bb
1656,4637.626506,0.95,bb
1657,4637.626506,0.91,bb
1658,4637.626506,0.89,bb
1659,4637.626506,0.96,bb
1660,4657.702811,0.93,bb
1661,4657.702811,0.94,bb
1662,4657.702811,0.95,bb
1663,4657.702811,0.94,bb
1664,4657.702811,0.95,bb
1665,4677.779116,0.98,bb
1666,4677.779116,0.94,bb
1667,4677.779116,0.99,bb
1668,4677.779116,0.93,bb
1669,4677.779116,0.98,bb
1670,4697.855422,0.96,bb
1671,4697.855422,0.89,bb
1672,4697.855422,0.98,bb
1673,4697.855422,0.95,bb
1674,4697.855422,0.98,bb
1675,4717.931727,0.92,bb
1676,4717.931727,0.98,bb
1677,4717.931727,0.96,bb
1678,4717.931727,0.98,bb
1679,4717.931727,0.97,bb
1680,4738.008032,0.98,bb
1681,4738.008032,0.95,bb
1682,4738.008032,0.98,bb
1683,4738.008032,0.87,bb
1684,4738.008032,0.95,bb
1685,4758.084337,0.97,bb
1686,4758.084337,0.95,bb
1687,4758.084337,0.92,bb
1688,4758.084337,0.88,bb
1689,4758.084337,0.92,bb
1690,4778.160643,0.98,bb
1691,4778.160643,0.97,bb
1692,4778.160643,0.95,bb
1693,4778.160643,0.95,bb
1694,4778.160643,0.92,bb
1695,4798.236948,0.95,bb
1696,4798.236948,0.86,bb
1697,4798.236948,0.9,bb
1698,4798.236948,0.89,bb
1699,4798.236948,0.87,bb
1700,4818.313253,0.94,bb
1701,4818.313253,0.89,bb
1702,4818.313253,0.98,bb
1703,4818.313253,0.92,bb
1704,4818.313253,0.99,bb
1705,4838.389558,0.95,bb
1706,4838.389558,0.9,bb
1707,4838.389558,0.88,bb
1708,4838.389558,0.95,bb
1709,4838.389558,0.94,bb
1710,4858.465863,0.95,bb
1711,4858.465863,0.93,bb
1712,4858.465863,0.98,bb
1713,4858.465863,0.92,bb
1714,4858.465863,0.93,bb
1715,4878.542169,0.94,bb
1716,4878.542169,0.91,bb
1717,4878.542169,0.9,bb
1718,4878.542169,0.94,bb
1719,4878.542169,0.96,bb
1720,4898.618474,0.9,bb
1721,4898.618474,0.85,bb
1722,4898.618474,0.89,bb
1723,4898.618474,0.9,bb
1724,4898.618474,0.89,bb
1725,4918.694779,0.94,bb
1726,4918.694779,0.99,bb
1727,4918.694779,0.95,bb
1728,4918.694779,0.96,bb
1729,4918.694779,0.92,bb
1730,4938.771084,0.9,bb
1731,4938.771084,0.94,bb
1732,4938.771084,0.98,bb
1733,4938.771084,0.93,bb
1734,4938.771084,0.94,bb
1735,4958.84739,0.99,bb
1736,4958.84739,0.92,bb
1737,4958.84739,0.97,bb
1738,4958.84739,0.93,bb
1739,4958.84739,0.95,bb
1740,4978.923695,0.97,bb
1741,4978.923695,0.91,bb
1742,4978.923695,0.93,bb
1743,4978.923695,0.87,bb
1744,4978.923695,0.93,bb
1745,4999,0.96,bb
1746,4999,0.99,bb
1747,4999,0.95,bb
1748,4999,0.97,bb
1749,4999,0.99,bb
1750,3000,0.27,final
1751,3000,0.23,final
1752,3000,0.2,final
1753,3000,0.27,final
1754,3000,0.26,final
1755,3020,0.31,final
1756,3020,0.28,final
1757,3020,0.24,final
1758,3020,0.34,final
1759,3020,0.27,final
1760,3040,0.38,final
1761,3040,0.34,final
1762,3040,0.39,final
1763,3040,0.33,final
1764,3040,0.32,final
1765,3060,0.32,final
1766,3060,0.3,final
1767,3060,0.4,final
1768,3060,0.43,final
1769,3060,0.35,final
1770,3080,0.4,final
1771,3080,0.37,final
1772,3080,0.36,final
1773,3080,0.39,final
1774,3080,0.38,final
1775,3100,0.45,final
1776,3100,0.49,final
1777,3100,0.46,final
1778,3100,0.44,final
1779,3100,0.44,final
1780,3120,0.45,final
1781,3120,0.53,final
1782,3120,0.51,final
1783,3120,0.48,final
1784,3120,0.48,final
1785,3140,0.43,final
1786,3140,0.49,final
1787,3140,0.51,final
1788,3140,0.45,final
1789,3140,0.41,final
1790,3160,0.55,final
1791,3160,0.5,final
1792,3160,0.55,final
1793,3160,0.49,final
1794,3160,0.54,final
1795,3180,0.49,final
1796,3180,0.57,final
1797,3180,0.59,final
1798,3180,0.55,final
1799,3180,0.55,final
1800,3200,0.53,final
1801,3200,0.62,final
1802,3200,0.6,final
1803,3200,0.58,final
1804,3200,0.6,final
1805,3220,0.57,final
1806,3220,0.52,final
1807,3220,0.62,final
1808,3220,0.52,final
1809,3220,0.61,final
1810,3240,0.57,final
1811,3240,0.6,final
1812,3240,0.63,final
1813,3240,0.61,final
1814,3240,0.6,final
1815,3260,0.63,final
1816,3260,0.64,final
1817,3260,0.51,final
1818,3260,0.6,final
1819,3260,0.65,final
1820,3280,0.66,final
1821,3280,0.66,final
1822,3280,0.67,final
1823,3280,0.65,final
1824,3280,0.65,final
1825,3300,0.56,final
1826,3300,0.56,final
1827,3300,0.64,final
1828,3300,0.61,final
1829,3300,0.61,final
1830,3320,0.59,final
1831,3320,0.68,final
1832,3320,0.67,final
1833,3320,0.69,final
1834,3320,0.69,final
1835,3340,0.55,final
1836,3340,0.69,final
1837,3340,0.6,final
1838,3340,0.65,final
1839,3340,0.57,final
1840,3360,0.67,final
1841,3360,0.67,final
1842,3360,0.57,final
1843,3360,0.7,final
1844,3360,0.66,final
1845,3380,0.7,final
1846,3380,0.61,final
1847,3380,0.68,final
1848,3380,0.7,final
1849,3380,0.63,final
1850,3400,0.71,final
1851,3400,0.63,final
1852,3400,0.66,final
1853,3400,0.69,final
1854,3400,0.71,final
1855,3420,0.64,final
1856,3420,0.71,final
1857,3420,0.72,final
1858,3420,0.59,final
1859,3420,0.69,final
1860,3440,0.63,final
1861,3440,0.69,final
1862,3440,0.67,final
1863,3440,0.66,final
1864,3440,0.72,final
1865,3460,0.73,final
1866,3460,0.69,final
1867,3460,0.71,final
1868,3460,0.73,final
1869,3460,0.66,final
1870,3480,0.73,final
1871,3480,0.67,final
1872,3480,0.68,final
1873,3480,0.71,final
1874,3480,0.68,final
1875,3500,0.71,final
1876,3500,0.72,final
1877,3500,0.65,final
1878,3500,0.73,final
1879,3500,0.66,final
1880,3520,0.69,final
1881,3520,0.7,final
1882,3520,0.69,final
1883,3520,0.71,final
1884,3520,0.69,final
1885,3540,0.68,final
1886,3540,0.75,final
1887,3540,0.69,final
1888,3540,0.7,final
1889,3540,0.75,final
1890,3560,0.71,final
1891,3560,0.66,final
1892,3560,0.66,final
1893,3560,0.74,final
1894,3560,0.67,final
1895,3580,0.71,final
1896,3580,0.73,final
1897,3580,0.74,final
1898,3580,0.71,final
1899,3580,0.74,final
1900,3600,0.68,final
1901,3600,0.62,final
1902,3600,0.75,final
1903,3600,0.72,final
1904,3600,0.67,final
1905,3620,0.71,final
1906,3620,0.77,final
1907,3620,0.73,final
1908,3620,0.75,final
1909,3620,0.74,final
1910,3640,0.73,final
1911,3640,0.73,final
1912,3640,0.77,final
1913,3640,0.75,final
1914,3640,0.77,final
1915,3660,0.64,final
1916,3660,0.64,final
1917,3660,0.72,final
1918,3660,0.67,final
1919,3660,0.77,final
1920,3680,0.73,final
1921,3680,0.71,final
1922,3680,0.77,final
1923,3680,0.72,final
1924,3680,0.73,final
1925,3700,0.68,final
1926,3700,0.75,final
1927,3700,0.73,final
1928,3700,0.74,final
1929,3700,0.65,final
1930,3720,0.75,final
1931,3720,0.68,final
1932,3720,0.73,final
1933,3720,0.77,final
1934,3720,0.64,final
1935,3740,0.73,final
1936,3740,0.71,final
1937,3740,0.69,final
1938,3740,0.77,final
1939,3740,0.71,final
1940,3760,0.72,final
1941,3760,0.64,final
